_id,start_station_id,start_station_name,start_station_latitude,start_station_longitude
ObjectId("5e4e2e36dbd3e62f6ebce4e8"),3177,W 84 St & Broadway,40.7867947,-73.977112
ObjectId("5e4e2e36dbd3e62f6ebce4e9"),3178,Riverside Dr & W 78 St,40.78414472,-73.98362492
ObjectId("5e4e2e36dbd3e62f6ebce4ea"),3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
ObjectId("5e4e2e36dbd3e62f6ebce4eb"),3182,Yankee Ferry Terminal,40.686931,-74.016966
ObjectId("5e4e2e36dbd3e62f6ebce4ec"),319,Fulton St & Broadway,40.711066,-74.009447
ObjectId("5e4e2e36dbd3e62f6ebce4ed"),320,Leonard St & Church St,40.717571,-74.005549
ObjectId("5e4e2e36dbd3e62f6ebce4ee"),321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
ObjectId("5e4e2e36dbd3e62f6ebce4ef"),3221,47 Ave & 31 St,40.743,-73.93561
ObjectId("5e4e2e36dbd3e62f6ebce4f0"),323,Lawrence St & Willoughby St,40.69236178,-73.98631746
ObjectId("5e4e2e36dbd3e62f6ebce4f1"),3231,E 67 St & Park Ave,40.7678008,-73.96592081
ObjectId("5e4e2e36dbd3e62f6ebce4f2"),3232,Bond St & Fulton St,40.68962189,-73.98304269
ObjectId("5e4e2e36dbd3e62f6ebce4f3"),3233,E 48 St & 5 Ave,40.75724568,-73.97805914
ObjectId("5e4e2e36dbd3e62f6ebce4f4"),3235,E 41 St & Madison Ave,40.75216528,-73.97992194
ObjectId("5e4e2e36dbd3e62f6ebce4f5"),3236,W 42 St & Dyer Ave,40.75898481,-73.99379969
ObjectId("5e4e2e36dbd3e62f6ebce4f6"),324,DeKalb Ave & Hudson Ave,40.689888,-73.981013
ObjectId("5e4e2e36dbd3e62f6ebce4f7"),3241,Monroe St & Tompkins Ave,40.686203,-73.944694
ObjectId("5e4e2e36dbd3e62f6ebce4f8"),3242,Schermerhorn St & Court St,40.69102926,-73.99183363
ObjectId("5e4e2e36dbd3e62f6ebce4f9"),3243,E 58 St & 1 Ave (NE Corner),40.75892386,-73.96226227
ObjectId("5e4e2e36dbd3e62f6ebce4fa"),3244,University Pl & E 8 St,40.73143724,-73.99490342
ObjectId("5e4e2e36dbd3e62f6ebce4fb"),3249,Verona Pl & Fulton St,40.68035608,-73.9476791
ObjectId("5e4e2e36dbd3e62f6ebce4fc"),325,E 19 St & 3 Ave,40.73624527,-73.98473765
ObjectId("5e4e2e36dbd3e62f6ebce4fd"),3254,Soissons Landing,40.69231661,-74.01486576
ObjectId("5e4e2e36dbd3e62f6ebce4fe"),3255,8 Ave & W 31 St,40.75058535,-73.99468482
ObjectId("5e4e2e36dbd3e62f6ebce4ff"),3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574
ObjectId("5e4e2e36dbd3e62f6ebce500"),3259,9 Ave & W 28 St,40.74937024,-73.99923384
ObjectId("5e4e2e36dbd3e62f6ebce501"),326,E 11 St & 1 Ave,40.72953837,-73.98426726
ObjectId("5e4e2e36dbd3e62f6ebce502"),3260,Mercer St & Bleecker St,40.72706363,-73.99662137
ObjectId("5e4e2e36dbd3e62f6ebce503"),3263,Cooper Square & Astor Pl,40.72951496,-73.9907527
ObjectId("5e4e2e36dbd3e62f6ebce504"),327,Vesey Pl & River Terrace,40.7153379,-74.01658354
ObjectId("5e4e2e36dbd3e62f6ebce505"),328,Watts St & Greenwich St,40.72405549,-74.00965965
ObjectId("5e4e2e36dbd3e62f6ebce506"),3282,5 Ave & E 88 St,40.78307,-73.95939
ObjectId("5e4e2e36dbd3e62f6ebce507"),3283,W 89 St & Columbus Ave,40.7882213,-73.97041561
ObjectId("5e4e2e36dbd3e62f6ebce508"),3284,E 88 St & Park Ave,40.7814107,-73.95595908
ObjectId("5e4e2e36dbd3e62f6ebce509"),3285,W 87 St & Amsterdam Ave,40.78839,-73.9747
ObjectId("5e4e2e36dbd3e62f6ebce50a"),3286,E 89 St & 3 Ave,40.7806284,-73.9521667
